Datum,GRÜNE,SPD,CDU,FDP,AfD,Sonstige,LINKE
2026-04-13,27.32,8.21,27.08,6.05,18.46,8,5.35
2026-04-12,27.23,8.23,27.11,6.03,18.49,7.95,5.38
2026-04-11,27.14,8.24,27.14,6.01,18.51,7.91,5.41
2026-04-10,27.05,8.25,27.17,6,18.54,7.86,5.44
2026-04-09,26.97,8.26,27.2,5.98,18.56,7.82,5.47
2026-04-08,26.88,8.28,27.23,5.96,18.59,7.77,5.49
2026-04-07,26.79,8.29,27.26,5.94,18.62,7.73,5.52
2026-04-06,26.7,8.3,27.29,5.92,18.64,7.69,5.55
2026-04-05,26.61,8.31,27.32,5.91,18.67,7.64,5.58
2026-04-04,26.53,8.33,27.35,5.89,18.69,7.6,5.61
2026-04-03,26.44,8.34,27.38,5.87,18.72,7.55,5.63
2026-04-02,26.35,8.35,27.41,5.86,18.74,7.51,5.66
2026-04-01,26.27,8.36,27.44,5.84,18.77,7.47,5.69
2026-03-31,26.18,8.38,27.47,5.82,18.79,7.43,5.72
2026-03-30,26.1,8.39,27.5,5.81,18.81,7.38,5.74
2026-03-29,26.01,8.4,27.52,5.79,18.84,7.34,5.77
2026-03-28,25.93,8.42,27.55,5.78,18.86,7.3,5.8
2026-03-27,25.84,8.43,27.58,5.76,18.89,7.26,5.83
2026-03-26,25.76,8.44,27.61,5.75,18.91,7.21,5.85
2026-03-25,25.68,8.46,27.64,5.73,18.93,7.17,5.88
2026-03-24,25.6,8.47,27.66,5.72,18.96,7.13,5.91
2026-03-23,25.51,8.48,27.69,5.71,18.98,7.09,5.93
2026-03-22,25.43,8.49,27.72,5.69,19,7.05,5.96
2026-03-21,25.35,8.51,27.75,5.68,19.03,7.01,5.98
2026-03-20,25.27,8.52,27.77,5.67,19.05,6.96,6.01
2026-03-19,25.19,8.53,27.8,5.65,19.07,6.92,6.03
2026-03-18,25.11,8.55,27.83,5.64,19.09,6.88,6.06
2026-03-17,25.03,8.56,27.86,5.63,19.12,6.84,6.08
2026-03-16,24.95,8.57,27.88,5.62,19.14,6.8,6.11
2026-03-15,24.87,8.59,27.91,5.6,19.16,6.76,6.13
2026-03-14,24.79,8.6,27.93,5.59,19.18,6.72,6.16
2026-03-13,24.72,8.61,27.96,5.58,19.2,6.68,6.18
2026-03-12,24.64,8.63,27.99,5.57,19.22,6.64,6.2
2026-03-11,24.56,8.64,28.01,5.56,19.25,6.6,6.23
2026-03-10,24.48,8.66,28.04,5.55,19.27,6.56,6.25
2026-03-09,24.41,8.67,28.06,5.54,19.29,6.52,6.27
2026-03-08,24.33,8.68,28.09,5.53,19.31,6.49,6.3
2026-03-07,24.26,8.7,28.11,5.52,19.33,6.45,6.32
2026-03-06,24.18,8.71,28.14,5.51,19.35,6.41,6.34
2026-03-05,24.11,8.72,28.16,5.5,19.37,6.37,6.36
2026-03-04,24.03,8.74,28.19,5.49,19.39,6.33,6.39
2026-03-03,23.96,8.75,28.21,5.48,19.41,6.29,6.41
2026-03-02,23.89,8.77,28.24,5.47,19.43,6.25,6.43
2026-03-01,23.81,8.78,28.26,5.46,19.45,6.22,6.45
2026-02-28,23.74,8.79,28.29,5.45,19.47,6.18,6.47
2026-02-27,23.67,8.81,28.31,5.45,19.49,6.14,6.49
2026-02-26,23.6,8.82,28.34,5.44,19.5,6.1,6.51
2026-02-25,23.53,8.83,28.36,5.43,19.52,6.07,6.53
2026-02-24,23.46,8.85,28.38,5.42,19.54,6.03,6.55
2026-02-23,23.39,8.86,28.41,5.42,19.56,5.99,6.57
2026-02-22,23.32,8.88,28.43,5.41,19.58,5.96,6.59
2026-02-21,23.25,8.89,28.45,5.4,19.6,5.92,6.61
2026-02-20,23.18,8.91,28.48,5.4,19.61,5.88,6.63
2026-02-19,23.11,8.92,28.5,5.39,19.63,5.85,6.65
2026-02-18,23.04,8.93,28.52,5.39,19.65,5.81,6.67
2026-02-17,22.97,8.95,28.54,5.38,19.67,5.77,6.69
2026-02-16,22.91,8.96,28.57,5.37,19.68,5.74,6.71
2026-02-15,22.84,8.98,28.59,5.37,19.7,5.7,6.73
2026-02-14,22.77,8.99,28.61,5.36,19.72,5.67,6.74
2026-02-13,22.71,9.01,28.63,5.36,19.73,5.63,6.76
2026-02-12,22.64,9.02,28.65,5.35,19.75,5.6,6.78
2026-02-11,22.58,9.03,28.68,5.35,19.77,5.56,6.8
2026-02-10,22.51,9.05,28.7,5.35,19.78,5.53,6.81
2026-02-09,22.45,9.06,28.72,5.34,19.8,5.49,6.83
2026-02-08,22.39,9.08,28.74,5.34,19.82,5.46,6.85
2026-02-07,22.32,9.09,28.76,5.34,19.83,5.42,6.87
2026-02-06,22.26,9.11,28.78,5.33,19.85,5.39,6.89
2026-02-05,22.19,9.12,28.8,5.33,19.86,5.35,6.91
2026-02-04,22.13,9.14,28.82,5.33,19.88,5.32,6.93
2026-02-03,22.07,9.15,28.85,5.32,19.89,5.29,6.95
2026-02-02,22.01,9.17,28.87,5.32,19.91,5.25,6.96
2026-02-01,21.95,9.18,28.89,5.32,19.92,5.22,6.98
2026-01-31,21.89,9.2,28.91,5.32,19.94,5.18,6.99
2026-01-30,21.83,9.21,28.93,5.32,19.95,5.15,7.01
2026-01-29,21.77,9.22,28.95,5.32,19.97,5.12,7.02
2026-01-28,21.71,9.24,28.97,5.31,19.98,5.09,7.03
2026-01-27,21.65,9.25,28.99,5.31,19.99,5.05,7.04
2026-01-26,21.59,9.27,29,5.31,20.01,5.02,7.05
2026-01-25,21.54,9.28,29.02,5.31,20.02,4.99,7.06
2026-01-24,21.48,9.3,29.04,5.31,20.03,4.96,7.07
2026-01-23,21.42,9.31,29.06,5.31,20.05,4.93,7.08
2026-01-22,21.36,9.33,29.08,5.31,20.06,4.9,7.09
2025-11-30,18.96,10.14,29.9,5.66,20.53,3.52,7.11
2025-11-29,18.93,10.15,29.91,5.67,20.53,3.5,7.11
2025-11-28,18.9,10.17,29.91,5.68,20.53,3.48,7.11
2025-11-27,18.87,10.18,29.92,5.69,20.54,3.46,7.11
2025-11-26,18.85,10.2,29.93,5.7,20.54,3.44,7.1
2025-11-25,18.82,10.21,29.94,5.71,20.54,3.41,7.1
2025-11-24,18.8,10.22,29.95,5.72,20.54,3.39,7.1
2025-11-23,18.77,10.24,29.95,5.73,20.54,3.37,7.09
2025-11-22,18.75,10.25,29.96,5.74,20.54,3.35,7.09
2025-11-21,18.73,10.26,29.97,5.75,20.54,3.33,7.08
2025-11-20,18.71,10.28,29.97,5.77,20.54,3.31,7.08
2025-11-19,18.69,10.29,29.98,5.78,20.54,3.29,7.07
2025-11-18,18.67,10.31,29.98,5.8,20.54,3.27,7.07
