Datum,CSU,FW,AfD,GRÜNE,SPD,FDP,LINKE,Sonstige
2026-03-06,39,9.71,18.24,13.03,7.27,2,3,3.77
2026-03-05,39,9.66,18.3,13.02,7.32,2,3,4.19
2026-03-04,39,9.61,18.36,13.01,7.38,2,3,4.59
2026-03-03,39,9.57,18.42,13,7.43,2,3,4.97
2026-02-28,39,9.46,18.58,12.97,7.56,NA,3,5.99
2026-02-27,39,9.42,18.63,12.96,7.59,NA,3,6.29
2026-02-26,39,9.39,18.68,12.95,7.63,NA,3,6.57
2026-02-25,39,9.37,18.72,12.94,7.66,NA,3,6.82
2026-02-24,39,9.35,18.76,12.93,7.69,NA,3,7.06
2026-02-23,39,9.33,18.79,12.92,7.71,NA,3,7.28
2026-02-22,39,9.31,18.83,12.91,7.74,NA,3,7.48
2026-02-21,39,9.29,18.86,12.9,7.76,NA,3,7.66
2026-02-20,39,9.28,18.89,12.89,7.78,NA,3,7.83
2026-02-19,39,9.27,18.92,12.87,7.79,2,3,7.98
2026-02-18,39,9.27,18.94,12.86,7.8,2,3,8.11
2026-02-17,39,9.26,18.96,12.85,7.81,2,3,8.21
2026-02-16,39,9.26,18.98,12.84,7.82,2,3,8.31
2026-02-15,39,9.26,19,12.82,7.82,2,3,8.38
2026-02-14,39,9.27,19.02,12.81,7.83,2,3,8.45
2026-02-13,39,9.28,19.03,12.79,7.82,2,3,8.48
2026-02-12,39,9.29,19.03,12.78,7.82,2,3,8.47
2026-02-11,39,9.31,19.04,12.77,7.8,2,3,8.44
2026-02-10,39,9.34,19.03,12.75,7.79,2,3,8.38
2026-02-09,39,9.36,19.03,12.74,7.77,2,3,8.33
2026-02-08,39,9.38,19.04,12.72,7.76,2,3,8.28
2026-02-07,39,9.4,19.04,12.71,7.75,2,3,8.24
2026-02-06,39,9.42,19.03,12.7,7.73,2,3,8.17
2026-02-05,39,9.43,19.02,12.7,7.72,2,3,8.09
2026-02-04,39,9.45,19.01,12.69,7.7,2,3,8
2026-02-03,39,9.48,19,12.68,7.68,2,3,7.9
2026-02-02,39,9.51,19,12.66,7.66,2,3,7.81
2026-02-01,39,9.54,19,12.64,7.64,2,3,7.74
2026-01-31,38.99,9.57,19,12.62,7.63,2,3,7.69
2026-01-30,38.99,9.6,19,12.6,7.61,2,3,7.64
2026-01-29,38.98,9.64,19,12.58,7.6,2,3,7.58
2026-01-28,38.98,9.68,19,12.55,7.57,2,3,7.5
2026-01-27,38.98,9.73,19,12.52,7.54,2,3,7.39
2026-01-26,38.98,9.8,19,12.47,7.5,2,3,7.23
2026-01-25,38.97,9.9,19,12.41,7.44,2,3,7.04
2026-01-24,38.96,10.01,19,12.34,7.38,2,3,6.83
2026-01-23,38.95,10.13,19,12.27,7.32,2,3,6.62
2026-01-22,38.94,10.23,19,12.2,7.26,2,3,6.4
2026-01-21,38.95,10.3,19,12.15,7.2,2,3,6.2
2026-01-20,38.96,10.38,19,12.1,7.14,2,3,5.98
2026-01-19,38.97,10.47,19,12.03,7.06,2,3,5.71
2026-01-18,38.98,10.57,19,11.96,6.98,2,3,5.41
2026-01-17,39,10.67,19,11.88,6.89,2,3,5.1
2026-01-16,39.01,10.77,19,11.81,6.8,2,3,4.8
2026-01-15,39.04,10.85,19,11.76,6.72,2,3,4.52
2026-01-14,39.06,10.89,19,11.72,6.66,2,3,4.29
2026-01-13,39.09,10.92,19,11.69,6.59,2,3,4.07
2026-01-12,39.14,10.95,19,11.65,6.52,2,3,3.81
2026-01-11,39.19,10.97,19,11.62,6.44,2,3,3.53
2026-01-10,39.24,10.99,19,11.6,6.36,2,3,3.26
2026-01-09,39.28,11,19,11.57,6.29,2,3,3.01
2026-01-08,39.33,11,19,11.56,6.23,2,3,2.82
2026-01-07,39.37,10.98,19,11.56,6.19,2,3,2.66
2026-01-06,39.42,10.95,19,11.56,6.15,2,3,2.51
2026-01-05,39.47,10.9,19,11.58,6.11,2,3,2.38
2026-01-04,39.52,10.85,19,11.59,6.07,2,3,2.26
2026-01-03,39.57,10.8,19,11.61,6.04,2,3,2.15
2026-01-02,39.6,10.77,19,11.62,6.01,2,3,2.05
