Datum,AfD,SPD,CDU,BSW,Sonstige,GRÜNE,LINKE,BVB/FW,FDP
2026-04-07,34,23.99,14.01,8,8.01,5,6.99,NA,NA
2026-04-06,34,23.98,14.02,8,8.02,5,6.98,NA,NA
2026-04-05,34,23.98,14.02,8,8.02,5,6.98,NA,NA
2026-04-04,34,23.98,14.02,8,8.02,5,6.98,NA,NA
2026-04-03,34,23.98,14.02,8,8.02,5,6.98,NA,NA
2026-04-02,34,23.98,14.02,8,8.02,5,6.98,NA,NA
2026-04-01,34,23.98,14.02,8,8.02,5,6.98,NA,NA
2026-03-31,34,23.98,14.02,8,8.02,5,6.98,NA,NA
2026-03-30,34,23.99,14.01,8,8.01,5,6.99,NA,NA
2026-03-29,34,24,14,8,8,5,7,NA,NA
2026-03-28,34,24.01,13.99,8,7.99,5,7.01,NA,NA
2026-03-27,34,24.02,13.98,8,7.98,5,7.02,NA,NA
2026-03-26,34,24.03,13.97,8,7.97,5,7.03,NA,NA
2026-03-25,34,24.04,13.96,8,7.96,5,7.04,NA,NA
2026-03-24,34,24.06,13.94,8,7.94,5,7.06,NA,NA
2026-03-23,34,24.08,13.92,8,7.92,5,7.08,NA,NA
2026-03-22,34,24.1,13.9,8,7.9,5,7.1,NA,NA
2026-03-21,34,24.12,13.88,8,7.88,5,7.12,NA,NA
2026-03-20,34,24.14,13.86,8,7.86,5,7.14,NA,NA
2026-03-01,34,24.9,13.1,8,7.1,5,7.9,NA,NA
2026-02-28,34,24.92,13.08,8,7.08,5,7.92,NA,NA
2026-02-27,34,24.95,13.05,8,7.05,5,7.95,NA,NA
2026-02-26,34,24.96,13.04,8,7.04,5,7.96,NA,NA
2026-02-25,34,24.98,13.02,8,7.02,5,7.98,NA,NA
2026-02-24,34,24.99,13.01,8,7.01,5,7.99,NA,NA
2026-02-23,34,24.99,13.01,8,7.01,5,7.99,NA,NA
2026-02-22,34,25,13,8,7,5,8,NA,NA
2026-02-21,34,25,13,8,7,5,8,NA,NA
2026-02-20,34,25,13,8,7,5,8,NA,NA
2026-02-19,34,25,13,8,7,5,8,NA,NA
2026-02-18,34,25,13,8,7,5,8,NA,NA
2026-02-17,34,25,13,8,7,5,8,NA,NA
2026-02-16,34,25,13,8,7,5,8,NA,NA
2026-02-15,34,25,13,8,7,5,8,NA,NA
2026-02-14,34,25,13,8,7,5,8,NA,NA
2026-02-13,34,25,13,8,7,5,8,NA,NA
2026-02-12,34,25,13,8,7,5,8,NA,NA
2026-02-11,34,25,13,8,7,5,8,NA,NA
2026-02-10,34,25,13,8,7,5,8,NA,NA
2026-02-09,34,25,13,8,7,5,8,NA,NA
2026-02-08,34,25,13,8,7,5,8,NA,NA
2026-02-07,34,25,13,8,7,5,8,NA,NA
2026-02-06,34,25,13,8,7,5,8,NA,NA
2026-02-05,34,25,13,8,7,5,8,NA,NA
2026-02-04,34,25,13,8,7,5,8,NA,NA
2026-02-03,34,25.01,13,8,7,5,8,NA,NA
2026-02-02,33.99,25.03,12.99,8.01,6.99,5,7.99,NA,NA
