Datum,SPD,AfD,CDU,LINKE,Sonstige,FDP,GRÜNE,BSW
2026-06-28,27.42,36.31,9.63,12.86,3.99,3.4,3.64,5.75
2026-06-27,27.41,36.27,9.65,12.84,4.03,3.39,3.66,5.71
2026-06-26,27.41,36.24,9.67,12.83,4.07,3.38,3.68,5.67
2026-06-25,27.4,36.21,9.69,12.81,4.1,3.38,3.71,5.62
2026-06-24,27.39,36.17,9.71,12.8,4.14,3.37,3.73,5.58
2026-06-23,27.38,36.14,9.73,12.78,4.18,3.36,3.75,5.55
2026-06-22,27.37,36.11,9.75,12.77,4.21,3.35,3.77,5.51
2026-06-21,27.36,36.07,9.77,12.75,4.24,NA,3.79,5.47
2026-06-20,27.35,36.04,9.79,12.73,4.28,NA,3.82,5.44
2026-06-19,27.35,36.01,9.81,12.71,4.31,NA,3.84,5.41
2026-06-18,27.34,35.97,9.83,12.69,4.34,NA,3.86,5.37
2026-06-17,27.33,35.94,9.85,12.67,4.37,NA,3.88,5.34
2026-06-16,27.32,35.9,9.88,12.65,4.4,NA,3.91,5.31
2026-06-15,27.31,35.87,9.9,12.62,4.43,NA,3.93,5.29
2026-06-14,27.3,35.83,9.92,12.59,4.46,NA,3.95,5.26
2026-06-13,27.29,35.79,9.95,12.57,4.49,NA,3.97,5.23
2026-06-12,27.28,35.75,9.97,12.54,4.51,NA,4,5.21
2026-06-11,27.27,35.72,10,12.51,4.54,NA,4.02,5.18
2026-06-10,27.26,35.68,10.02,12.48,4.56,NA,4.04,5.16
2026-06-09,27.24,35.64,10.05,12.45,4.59,NA,4.06,5.14
2026-06-08,27.23,35.61,10.07,12.42,4.61,NA,4.09,5.12
2026-06-07,27.22,35.57,10.1,12.39,4.64,NA,4.11,5.1
2026-06-06,27.21,35.54,10.13,12.35,4.66,NA,4.13,5.08
2026-06-05,27.2,35.5,10.15,12.32,4.68,NA,4.15,5.06
2026-06-04,27.18,35.47,10.18,12.29,4.7,NA,4.17,5.04
2026-06-03,27.17,35.43,10.21,12.26,4.72,NA,4.19,5.03
2026-06-02,27.16,35.4,10.23,12.23,4.74,NA,4.21,5.01
2026-06-01,27.14,35.37,10.26,12.2,4.76,NA,4.23,5
2026-05-31,27.13,35.33,10.29,12.16,4.78,NA,4.25,4.99
2026-05-30,27.11,35.3,10.31,12.13,4.8,NA,4.27,4.98
2026-05-29,27.1,35.27,10.34,12.1,4.82,NA,4.29,4.97
2026-05-28,27.08,35.24,10.37,12.06,4.84,NA,4.31,4.96
2026-05-27,27.07,35.2,10.4,12.03,4.85,NA,4.33,4.95
2026-05-26,27.05,35.17,10.43,11.99,4.87,NA,4.35,4.94
2026-05-25,27.04,35.14,10.46,11.95,4.89,NA,4.37,4.94
2026-05-24,27.02,35.1,10.49,11.91,4.9,NA,4.39,4.94
2026-05-23,27,35.07,10.52,11.87,4.91,NA,4.41,4.94
2026-05-22,26.99,35.04,10.55,11.84,4.93,NA,4.43,4.95
2026-05-21,26.97,35.01,10.58,11.8,4.94,NA,4.44,4.95
2026-05-20,26.95,34.98,10.61,11.76,4.95,NA,4.46,4.95
2026-05-19,26.93,34.95,10.64,11.73,4.97,NA,4.48,4.95
2026-05-18,26.91,34.93,10.67,11.69,4.98,NA,4.49,4.95
2026-05-17,26.89,34.9,10.7,11.66,4.99,NA,4.51,4.95
2026-05-16,26.87,34.88,10.73,11.62,5,NA,4.53,4.95
2026-05-15,26.85,34.85,10.76,11.59,5.01,NA,4.54,4.95
2026-05-14,26.83,34.82,10.79,11.55,5.02,NA,4.56,4.95
2026-05-13,26.81,34.8,10.82,11.5,5.03,NA,4.57,4.96
2026-05-01,26.56,34.43,11.24,10.9,5.04,2.91,4.77,5
2026-04-30,26.53,34.4,11.28,10.85,5.04,2.9,4.79,5
2026-04-29,26.51,34.38,11.31,10.8,5.04,2.89,4.8,5
2026-04-28,26.48,34.36,11.35,10.76,5.03,2.88,4.81,5
2026-04-27,26.46,34.34,11.38,10.71,5.03,2.87,4.82,5
2026-04-26,26.43,34.32,11.42,10.67,5.03,2.86,4.83,5
2026-04-25,26.4,34.3,11.45,10.63,5.03,2.86,4.84,5
2026-04-24,26.37,34.29,11.49,10.59,5.03,2.85,4.85,5
2026-04-23,26.34,34.28,11.52,10.55,5.03,2.84,4.86,5
2026-04-22,26.31,34.27,11.55,10.52,5.03,2.83,4.87,5
2026-04-21,26.28,34.26,11.59,10.49,5.03,2.82,4.87,5
2026-04-20,26.24,34.26,11.62,10.46,5.03,2.81,4.88,5
2026-04-19,26.2,34.27,11.65,10.43,5.03,2.8,4.88,5
2026-04-18,26.15,34.27,11.69,10.39,5.03,2.79,4.89,5
2026-04-17,26.1,34.28,11.73,10.35,5.03,2.78,4.89,5
2026-04-16,26.05,34.29,11.77,10.32,5.02,2.77,4.89,5
2026-04-15,25.99,34.3,11.81,10.28,5.02,2.76,4.9,5
2026-04-14,25.94,34.32,11.85,10.24,5.02,2.76,4.9,5
2026-04-13,25.88,34.33,11.89,10.2,5.01,2.75,4.9,5
2026-04-12,25.83,34.34,11.92,10.16,5.01,2.74,4.9,5
2026-04-11,25.77,34.36,11.96,10.13,5.01,2.73,4.9,5
2026-04-10,25.72,34.38,12,10.1,5,2.72,4.9,5
2026-04-09,25.67,34.39,12.03,10.08,5,2.71,4.9,5
2026-04-08,25.63,34.4,12.07,10.06,5,2.7,4.9,5
2026-04-07,25.59,34.42,12.1,10.05,5,2.69,4.9,5
2026-04-06,25.55,34.43,12.13,10.04,5,2.68,4.89,5
2026-04-05,25.5,34.45,12.15,10.03,5,2.67,4.89,5
2026-04-04,25.46,34.48,12.18,10.03,5,2.67,4.88,5
2026-04-03,25.4,34.52,12.21,10.03,5,2.66,4.87,5
2026-04-02,25.35,34.56,12.24,10.04,5,2.65,4.85,5
2026-04-01,25.29,34.6,12.27,10.05,5,2.64,4.84,5
2026-03-31,25.24,34.64,12.29,10.06,5,2.63,4.82,4.99
2026-03-30,25.18,34.69,12.32,10.07,5,2.62,4.81,4.99
2026-03-29,25.13,34.73,12.34,10.08,5,2.61,4.79,4.99
2026-03-28,25.08,34.77,12.37,10.09,5,2.6,4.78,4.99
2026-03-27,25.03,34.81,12.39,10.11,5,2.6,4.76,4.99
2026-03-26,24.99,34.84,12.42,10.12,5,2.59,4.75,4.99
2026-03-25,24.95,34.87,12.44,10.13,5,2.58,4.74,4.99
2026-03-24,24.92,34.89,12.47,10.14,5,2.57,4.73,4.98
2026-03-23,24.89,34.9,12.49,10.15,5,2.56,4.72,4.98
2026-03-22,24.86,34.92,12.51,10.16,5,2.55,4.71,4.98
2026-03-21,24.84,34.94,12.53,10.18,5,2.54,4.69,4.98
2026-03-20,24.81,34.96,12.55,10.2,5,2.53,4.68,4.98
2026-03-19,24.78,34.98,12.57,10.22,5,2.53,4.67,4.98
2026-03-18,24.75,35,12.59,10.24,5,2.52,4.65,4.98
2026-03-17,24.72,35.03,12.61,10.26,5,2.51,4.64,4.97
2026-03-16,24.69,35.05,12.63,10.28,5,2.5,4.63,4.96
2026-03-15,24.67,35.07,12.65,10.31,5,2.49,4.61,4.96
2026-03-14,24.64,35.1,12.67,10.34,5,2.48,4.59,4.95
2026-03-13,24.62,35.12,12.68,10.36,5,2.48,4.58,4.95
2026-03-12,24.6,35.14,12.7,10.39,5,2.47,4.56,4.95
2026-03-11,24.58,35.16,12.72,10.42,5,2.46,4.55,4.96
2026-03-10,24.56,35.18,12.73,10.45,5,2.45,4.53,4.97
2026-03-09,24.54,35.19,12.75,10.48,5,2.44,4.52,4.99
2026-03-08,24.52,35.21,12.77,10.51,5,2.43,4.5,5.01
2026-03-07,24.5,35.24,12.78,10.55,5,2.42,4.48,5.02
2026-03-06,24.48,35.26,12.8,10.58,5,2.42,4.46,5.04
2026-03-05,24.46,35.29,12.81,10.62,5,2.41,4.44,5.06
2026-03-04,24.44,35.31,12.82,10.66,5,2.4,4.42,5.08
2026-03-03,24.42,35.34,12.84,10.71,5,2.39,4.4,5.11
2026-03-02,24.4,35.37,12.85,10.75,5,2.38,4.38,5.13
