Datum,SPD,CDU,GRÜNE,AfD,Sonstige,FDP,LINKE
2026-03-02,26,27.06,9.89,21.06,6.17,3,7.07
2026-03-01,26,27.03,9.94,21.03,6.09,3,7.04
2026-02-28,26,27,9.99,21,6.01,3,7.01
2026-02-27,26,26.98,10.04,20.98,5.94,3,6.98
2026-02-26,26,26.95,10.09,20.95,5.86,3,6.95
2026-02-25,26,26.93,10.14,20.93,5.79,3,6.93
2026-01-03,26,26.06,11.87,20.07,3.2,3,6.01
2026-01-02,26,26.06,11.88,20.06,3.17,3,6.01
2026-01-01,26,26.05,11.9,20.05,3.15,3,6
2025-12-31,26,26.04,11.91,20.05,3.13,3,6
2025-12-30,26,26.04,11.93,20.04,3.11,3,6
2025-12-29,26,26.03,11.94,20.03,3.09,3,6
2025-12-28,26,26.02,11.95,20.03,3.08,3,6
2025-12-27,26,26.02,11.96,20.02,3.06,3,6
2025-12-26,26,26.01,11.97,20.02,3.04,3,6
2025-12-25,26,26.01,11.98,20.01,3.03,3,6
2025-12-24,26,26,11.99,20.01,3.01,3,6
2025-12-23,26,26,12,20,3,3,6
2025-12-22,26,26,12.01,20,2.99,3,6
2025-12-21,26,25.99,12.02,19.99,2.98,3,6
2025-12-20,26,25.99,12.02,19.99,2.97,3,6
2025-12-19,26,25.99,12.03,19.99,2.96,3,6
2025-12-18,26,25.98,12.03,19.98,2.95,3,6
2025-12-17,26,25.98,12.04,19.98,2.94,3,6
2025-12-16,26,25.98,12.04,19.98,2.94,3,6
2025-12-15,26,25.98,12.05,19.98,2.93,3,6
2025-12-14,26,25.97,12.05,19.98,2.93,3,6
2025-12-13,26,25.97,12.05,19.97,2.92,3,6
2025-12-12,26,25.97,12.05,19.97,2.92,3,6
2025-12-11,26,25.97,12.05,19.97,2.92,3,6
2025-12-10,26,25.97,12.05,19.97,2.92,3,6
2025-12-09,26,25.97,12.05,19.97,2.92,3,6
2025-12-08,26,25.97,12.05,19.97,2.92,3,6
2025-12-07,26,25.97,12.05,19.97,2.92,3,6
2025-12-06,26,25.97,12.05,19.97,2.92,3,6
2025-12-05,26,25.98,12.05,19.98,2.93,3,6
2025-12-04,26,25.98,12.04,19.98,2.93,3,6
2025-12-03,26,25.98,12.04,19.98,2.94,3,6
2025-12-02,26,25.98,12.04,19.98,2.95,3,6
2025-12-01,26,25.99,12.03,19.98,2.95,3,6
2025-11-30,26,25.99,12.02,19.99,2.96,3,6
2025-11-29,26,25.99,12.02,19.99,2.97,3,6
2025-11-28,26,26,12.01,19.99,2.98,3,6
2025-11-27,26,26,12,20,2.99,3,6
2025-11-26,26,26,11.99,20,3.01,3,6
2025-11-25,26,26.01,11.99,20.01,3.02,3,6
2025-11-24,26,26.01,11.98,20.01,3.04,3,6
2025-11-23,26,26.02,11.97,20.01,3.05,3,6
2025-11-22,26,26.02,11.96,20.02,3.07,3,6
2025-11-21,26,26.03,11.94,20.02,3.08,3,6
2025-11-20,26,26.04,11.93,20.03,3.1,3,6
2025-11-19,26,26.04,11.92,20.03,3.11,3,6
2025-04-05,25.08,30.12,10,16,4.96,4.97,5
2025-04-04,25.07,30.1,10,16,4.97,4.97,5
2025-04-03,25.06,30.08,10,16,4.97,4.98,5
2025-04-02,25.05,30.07,10,16,4.98,4.98,5
2025-04-01,25.04,30.05,10,16,4.98,4.98,5
2025-03-31,25.03,30.04,10,16,4.99,4.99,5
2025-03-30,25.02,30.03,10,16,4.99,4.99,5
2025-03-29,25.01,30.01,10,16,5,5,5
2025-03-28,25,30,10,16,5,5,5
2025-03-27,24.99,29.99,10,16,5,5,5
2025-03-26,24.98,29.97,10,16,5.01,5.01,5
2025-03-25,24.98,29.96,10,16,5.01,5.01,5
2025-03-24,24.97,29.95,10,16,5.02,5.01,5
2025-03-23,24.96,29.94,10,16,5.02,5.02,5
2025-03-22,24.96,29.94,10,16,5.02,5.02,5
2025-03-21,24.95,29.93,10,16,5.02,5.02,5
2025-03-20,24.95,29.92,10,16,5.03,5.02,5
2025-03-19,24.94,29.91,10,16,5.03,5.02,5
2025-03-18,24.94,29.91,10,16,5.03,5.03,5
2025-03-17,24.94,29.91,10,16,5.03,5.03,5
2025-03-16,24.94,29.9,10,16,5.03,5.03,5
2025-03-15,24.93,29.9,10,16,5.03,5.03,5
2025-03-14,24.93,29.9,10,16,5.03,5.03,5
2025-03-13,24.93,29.9,10,16,5.03,5.03,5
2025-03-12,24.93,29.9,10,16,5.03,5.03,5
2025-03-11,24.94,29.9,10,16,5.03,5.03,5
2025-03-10,24.94,29.91,10,16,5.03,5.03,5
2025-03-09,24.94,29.91,10,16,5.03,5.03,5
2025-03-08,24.94,29.92,10,16,5.03,5.03,5
2025-03-07,24.95,29.92,10,16,5.03,5.02,5
2025-03-06,24.96,29.93,10,16,5.02,5.02,5
2025-03-05,24.96,29.94,10,16,5.02,5.02,5
2025-03-04,24.97,29.96,10,16,5.01,5.01,5
2025-03-03,24.98,29.97,10,16,5.01,5.01,5
2025-03-02,24.99,29.98,10,16,5.01,5.01,5
2025-03-01,25,30,10,16,5,5,5
2025-02-28,25.01,30.02,10,16,4.99,4.99,5
2025-02-27,25.02,30.04,10,16,4.99,4.99,5
2025-02-26,25.04,30.06,10,16,4.98,4.98,5
2025-02-25,25.05,30.07,10,16,4.98,4.98,5
2025-02-24,25.06,30.09,10,16,4.97,4.97,5
2025-02-23,25.07,30.11,10,16,4.96,4.97,5
2025-02-22,25.09,30.13,10,16,4.96,4.96,5
2025-02-21,25.11,30.16,10,16,4.95,4.95,4.99
2025-02-20,25.13,30.2,10,16,4.93,4.93,4.99
2025-02-19,25.16,30.24,10,16,4.92,4.92,4.99
2025-01-19,26.81,32.72,10,16,4.09,4.09,NA
2025-01-18,26.85,32.78,10,16,4.07,4.07,NA
2025-01-17,26.89,32.83,10,16,4.06,4.06,NA
2025-01-16,26.92,32.87,10,16,4.04,4.04,NA
2025-01-15,26.94,32.91,10,16,4.03,4.03,NA
2025-01-14,26.97,32.95,10,16,4.01,4.02,NA
2025-01-13,26.98,32.97,10,16,4.01,4.01,NA
2025-01-12,27,32.99,10,16,4,4.01,NA
2025-01-11,27,33,10,16,3.99,4,NA
2025-01-10,27.01,33.01,9.99,16,3.99,4,NA
2025-01-09,27.02,33.02,9.99,16.01,3.98,4,NA
2025-01-08,27.03,33.04,9.98,16.01,3.97,4,NA
2025-01-07,27.04,33.05,9.98,16.01,3.96,4,NA
2025-01-06,27.05,33.06,9.98,16.01,3.96,4,NA
2025-01-05,27.05,33.06,9.97,16.01,3.95,4,NA
2025-01-04,27.05,33.06,9.97,16.01,3.95,4,NA
2025-01-03,27.06,33.07,9.97,16.01,3.95,4,NA
2025-01-02,27.06,33.07,9.97,16.01,3.95,4,NA
2025-01-01,27.06,33.07,9.97,16.02,3.95,4,NA
2024-12-31,27.06,33.07,9.97,16.02,3.95,4,NA
2024-12-30,27.06,33.07,9.97,16.01,3.95,4,NA
2024-12-29,27.05,33.06,9.97,16.01,3.95,4,NA
2024-12-28,27.05,33.06,9.97,16.01,3.95,4,NA
2024-12-27,27.05,33.06,9.97,16.01,3.95,4,2.05
2024-12-26,27.05,33.06,9.97,16.01,3.95,4,2.03
2024-12-25,27.05,33.06,9.97,16.01,3.96,4,2.01
2024-12-24,27.04,33.05,9.98,16.01,3.97,4,2.01
2024-12-23,27.03,33.04,9.98,16.01,3.97,4,2
2024-12-22,27.03,33.03,9.98,16.01,3.98,4,2
2024-12-21,27.03,33.03,9.98,16.01,3.98,4,2
2024-12-20,27.03,33.03,9.98,16.01,3.98,4,2
2024-12-19,27.02,33.02,9.98,16.01,3.99,4,2
2024-12-18,27,33,9.99,16,4.01,4,2
2024-12-17,26.97,32.96,10.01,16,4.04,4,2
2024-12-16,26.94,32.91,10.02,15.99,4.08,4,2
2024-12-15,26.9,32.86,10.04,15.98,4.12,4,2
2024-12-14,26.86,32.81,10.06,15.97,4.16,4,2
2024-12-13,26.81,32.75,10.09,15.96,4.2,4,2
2024-12-12,26.77,32.7,10.11,15.95,4.25,4,2
2024-12-11,26.71,32.64,10.14,15.93,4.3,4,2
2024-12-10,26.65,32.55,10.17,15.91,4.36,4,2
2024-12-09,26.57,32.46,10.21,15.9,4.44,4,2
2024-12-08,26.5,32.37,10.25,15.88,4.51,4,2
2024-12-07,26.42,32.28,10.29,15.86,4.58,4,2
2024-12-06,26.36,32.21,10.32,15.84,4.63,4,2
2024-12-05,26.31,32.14,10.35,15.83,4.68,4,2
2024-12-04,26.25,32.06,10.38,15.81,4.75,4,2
2024-12-03,26.18,31.98,10.41,15.8,4.82,4,2
2024-12-02,26.12,31.9,10.44,15.78,4.88,4,2
2024-12-01,26.06,31.83,10.47,15.76,4.93,4,2
2024-11-30,26.01,31.78,10.51,15.75,4.97,4,2
2024-11-29,25.96,31.74,10.55,15.73,4.99,4,2
2024-11-28,25.91,31.7,10.58,15.71,5.01,4,2
2024-11-27,25.86,31.65,10.62,15.69,5.03,4,2
2024-11-26,25.81,31.62,10.67,15.67,5.05,4,2
2024-11-25,25.76,31.58,10.71,15.65,5.06,4,2
2024-11-24,25.71,31.56,10.76,15.62,5.06,4,2
2024-11-23,25.67,31.54,10.81,15.6,5.06,4,2
2024-11-22,25.62,31.53,10.86,15.57,5.05,4,2
2024-11-21,25.58,31.51,10.91,15.55,5.03,4,2
2024-11-20,25.53,31.51,10.96,15.52,5.01,4,2
2024-11-19,25.49,31.5,11.02,15.49,4.99,4,2
2024-11-18,25.45,31.51,11.07,15.46,4.96,4,2
2024-11-17,25.41,31.52,11.13,15.43,4.92,4,2
2024-11-16,25.37,31.53,11.19,15.4,4.87,4,2
2024-11-15,25.34,31.55,11.25,15.37,4.82,4,2
2024-11-14,25.3,31.57,11.32,15.34,4.77,4,2
2024-11-13,25.27,31.6,11.38,15.31,4.71,4,2
2024-11-12,25.23,31.64,11.45,15.28,4.64,4,2
2024-11-11,25.2,31.67,11.51,15.24,4.57,NA,NA
2024-11-10,25.17,31.71,11.58,15.21,4.5,NA,NA
2024-11-09,25.14,31.74,11.64,15.18,4.44,NA,NA
2024-11-08,25.11,31.77,11.71,15.15,4.37,NA,NA
2024-03-21,28.89,29.93,11.07,20.89,3.25,4.03,2
2024-03-20,28.91,29.94,11.06,20.91,3.22,4.03,2
2024-03-19,28.92,29.95,11.05,20.92,3.18,4.02,2
2024-03-18,28.94,29.96,11.04,20.94,3.15,4.02,2
2024-03-17,28.95,29.97,11.03,20.95,3.12,4.01,2
2024-03-16,28.96,29.98,11.02,20.96,3.09,4.01,2
2024-03-15,28.98,29.98,11.02,20.98,3.06,4.01,2
2024-03-14,28.99,29.99,11.01,20.99,3.03,4,2
2024-03-13,29,30,11,21,3,4,2
2024-03-12,29.01,30.01,10.99,21.01,2.98,4,2
