Datum,SPD,CDU,GRÜNE,AfD,FDP,FW,Sonstige,LINKE
2026-08-25,18.76,28.03,11.12,24.06,2.97,2.91,7.01,5
2026-08-24,18.87,28.04,11.08,24.01,2.98,2.94,6.99,5
2026-08-23,18.98,28.04,11.04,23.96,2.99,2.97,6.98,5
2026-08-22,19.1,28.04,11,23.92,3,3,6.97,5
2026-08-21,19.21,28.04,10.97,23.87,3.01,3.03,6.96,5
2026-08-20,19.32,28.05,10.93,23.82,3.03,3.06,6.94,5
2026-05-03,26.7,28.39,8.81,19.9,NA,4.76,6.43,5
2026-05-02,26.72,28.4,8.81,19.87,NA,4.76,6.43,5
2026-05-01,26.74,28.4,8.81,19.84,NA,4.76,6.44,5
2026-04-30,26.77,28.4,8.8,19.82,NA,4.76,6.44,5
2026-04-29,26.79,28.41,8.8,19.79,NA,4.77,6.44,5
2026-04-28,26.81,28.41,8.8,19.77,NA,4.77,6.44,5
2026-04-27,26.83,28.42,8.8,19.74,NA,4.77,6.45,5
2026-04-26,26.85,28.42,8.8,19.72,NA,4.77,6.45,5
2026-04-25,26.87,28.42,8.8,19.69,NA,4.77,6.45,5
2026-04-24,26.89,28.43,8.8,19.67,NA,4.78,6.46,5
2026-04-23,26.91,28.43,8.8,19.64,NA,4.78,6.46,5
2026-04-22,26.93,28.44,8.81,19.61,NA,4.78,6.47,5
2026-04-21,26.94,28.44,8.81,19.59,NA,4.78,6.47,5
2026-04-20,26.96,28.44,8.81,19.56,NA,4.78,6.47,5
2026-04-19,26.98,28.45,8.81,19.54,NA,4.78,6.48,5
2026-04-18,26.99,28.45,8.82,19.51,NA,4.78,6.48,5
2026-04-17,27,28.46,8.82,19.49,NA,4.78,6.49,5
2026-04-16,27.02,28.46,8.82,19.47,NA,4.77,6.49,5
2026-04-15,27.03,28.46,8.83,19.44,NA,4.77,6.49,5
2026-04-14,27.04,28.47,8.83,19.42,NA,4.77,6.5,5
2026-04-13,27.05,28.47,8.83,19.4,NA,4.77,6.5,5
2026-04-12,27.06,28.48,8.84,19.37,NA,4.77,6.51,5
2026-04-11,27.06,28.48,8.84,19.35,NA,4.77,6.52,5
2026-04-10,27.07,28.48,8.85,19.33,NA,4.77,6.52,5
2026-04-09,27.07,28.48,8.86,19.31,NA,4.76,6.53,5
2026-04-08,27.07,28.48,8.86,19.29,NA,4.76,6.54,5
2026-04-07,27.07,28.49,8.87,19.27,NA,4.76,6.55,5
2026-04-06,27.07,28.49,8.88,19.25,NA,4.75,6.55,5
2026-04-05,27.07,28.49,8.89,19.23,NA,4.75,6.56,5
2026-04-04,27.07,28.49,8.89,19.21,NA,4.75,6.57,5
2026-04-03,27.07,28.49,8.9,19.19,NA,4.74,6.58,5
2026-04-02,27.06,28.49,8.91,19.18,NA,4.74,6.59,5
2026-04-01,27.06,28.49,8.92,19.16,NA,4.73,6.6,5
2026-03-31,27.05,28.49,8.93,19.14,NA,4.73,6.61,5
2026-03-30,27.04,28.49,8.94,19.12,NA,4.72,6.62,5
2026-03-29,27.04,28.49,8.95,19.1,NA,4.72,6.63,5
2026-03-28,27.03,28.5,8.96,19.08,NA,4.71,6.64,5
2026-03-27,27.02,28.5,8.98,19.06,NA,4.7,6.65,4.99
2026-03-26,27.01,28.51,8.99,19.04,NA,4.69,6.66,4.99
2026-03-25,27,28.51,9.01,19.01,NA,4.68,6.66,4.99
2026-03-24,26.99,28.52,9.03,18.99,NA,4.67,6.67,4.99
2026-03-23,26.98,28.53,9.05,18.96,NA,4.66,6.68,4.99
2026-03-22,26.97,28.53,9.07,18.93,NA,4.65,6.69,4.98
2026-03-21,26.95,28.54,9.09,18.91,NA,4.64,6.69,4.97
2026-03-20,26.94,28.55,9.11,18.88,NA,4.63,6.7,4.96
2026-03-19,26.93,28.56,9.13,18.86,NA,4.61,6.71,4.95
2026-03-18,26.92,28.56,9.14,18.84,NA,4.6,6.72,4.94
2026-03-17,26.9,28.57,9.16,18.82,NA,4.59,6.73,4.94
2026-03-16,26.89,28.57,9.17,18.8,NA,4.59,6.74,4.94
2026-03-15,26.88,28.58,9.19,18.78,NA,4.58,6.75,4.95
2026-03-14,26.86,28.58,9.2,18.76,NA,4.57,6.75,4.97
2026-03-13,26.85,28.58,9.21,18.74,NA,4.56,6.76,4.98
2026-03-12,26.84,28.59,9.23,18.73,NA,4.55,6.77,5
2026-03-11,26.82,28.59,9.24,18.71,NA,4.54,6.78,5.02
2026-03-10,26.81,28.6,9.26,18.69,NA,4.53,6.79,5.04
2026-03-09,26.79,28.6,9.28,18.67,NA,4.52,6.8,5.07
2026-03-08,26.77,28.61,9.29,18.65,NA,4.51,6.81,5.09
2026-03-07,26.76,28.62,9.31,18.63,NA,4.5,6.82,5.12
2026-03-06,26.74,28.62,9.32,18.62,NA,4.49,6.83,5.15
2026-03-05,26.72,28.63,9.34,18.6,NA,4.48,6.83,5.18
2026-03-04,26.71,28.63,9.35,18.58,NA,4.47,6.84,5.21
2026-03-03,26.69,28.64,9.37,18.57,NA,4.47,6.85,5.24
2026-03-02,26.67,28.64,9.38,18.55,NA,4.46,6.86,5.28
2026-03-01,26.65,28.65,9.39,18.54,NA,4.45,6.87,5.32
2026-02-28,26.63,28.65,9.41,18.52,NA,4.44,6.88,5.38
2026-02-27,26.61,28.66,9.43,18.5,NA,4.43,6.89,5.43
2026-02-26,26.59,28.66,9.44,18.49,NA,4.42,6.9,5.49
2026-02-25,26.57,28.67,9.46,18.47,NA,4.41,6.91,5.54
